"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"NO","NO-1982-12-31",1982,31/12/1982,01/01/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-03-09",1983,09/03/1983,10/03/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-05-20",1983,19/05/1983,21/05/1983,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1983-06-20",1983,20/06/1983,21/06/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-08-02",1983,02/08/1983,03/08/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-08-10",1983,10/08/1983,11/08/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-08-16",1983,16/08/1983,17/08/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-08-28",1983,28/08/1983,29/08/1983,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1983-09-24",1983,24/09/1983,25/09/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-09-27",1983,27/09/1983,28/09/1983,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1983-10",1983,,,1,,"","Moderate",,"","","","","",,"National authorities",""
"NO","NO-1983-10-05",1983,05/10/1983,07/10/1983,5,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1983-10-17",1983,16/10/1983,18/10/1983,9,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1983-10-22",1983,22/10/1983,23/10/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-10-26",1983,26/10/1983,29/10/1983,44,,"","Very High",3,"","","","","",,"National authorities",""
"NO","NO-1983-10-30",1983,30/10/1983,01/11/1983,5,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1983-11-08",1983,08/11/1983,09/11/1983,6,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1983-12-15",1983,15/12/1983,16/12/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1983-12-27",1983,27/12/1983,28/12/1983,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1984-05-20",1984,20/05/1984,21/05/1984,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1984-05-26",1984,26/05/1984,27/05/1984,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1984-05-28",1984,28/05/1984,30/05/1984,4,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1984-06-03",1984,02/06/1984,05/06/1984,13,,"","Very High",3,"","","","","",,"National authorities",""
"NO","NO-1984-08-30",1984,30/08/1984,31/08/1984,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1984-11-23",1984,23/11/1984,24/11/1984,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1984-12-25",1984,25/12/1984,26/12/1984,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1985-05-30",1985,27/05/1985,31/05/1985,10,,"","Very High",4,"","","","","",,"National authorities",""
"NO","NO-1985-07-09",1985,09/07/1985,10/07/1985,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1985-07-29",1985,29/07/1985,30/07/1985,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1985-08-07",1985,06/08/1985,08/08/1985,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1985-09-07",1985,06/09/1985,08/09/1985,3,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1985-09-15",1985,15/09/1985,16/09/1985,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1985-10-02",1985,01/10/1985,03/10/1985,36,,"","Very High",2,"","","","","",,"National authorities",""
"NO","NO-1985-10-06",1985,06/10/1985,07/10/1985,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1985-10-10",1985,10/10/1985,12/10/1985,1,,"","Moderate",2,"","","","","",,"National authorities",""
"NO","NO-1985-10-24",1985,24/10/1985,25/10/1985,4,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1985-10-30",1985,30/10/1985,31/10/1985,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1986-05-06",1986,05/05/1986,07/05/1986,3,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1986-05-08",1986,08/05/1986,10/05/1986,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1986-05-29",1986,29/05/1986,30/05/1986,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1986-06-04",1986,04/06/1986,05/06/1986,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1986-08-29",1986,29/08/1986,30/08/1986,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1986-10-02",1986,01/10/1986,03/10/1986,3,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1986-10-12",1986,12/10/1986,14/10/1986,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1986-11-12",1986,11/11/1986,13/11/1986,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1986-11-27",1986,27/11/1986,28/11/1986,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1987-05-05",1987,05/05/1987,06/05/1987,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1987-05-22",1987,22/05/1987,23/05/1987,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1987-06-17",1987,17/06/1987,18/06/1987,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1987-07-06",1987,06/07/1987,07/07/1987,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1987-10-13",1987,13/10/1987,14/10/1987,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1987-10-16",1987,16/10/1987,19/10/1987,62,,"","Very High",3,"","","","","",,"National authorities",""
"NO","NO-1987-11-05",1987,05/11/1987,06/11/1987,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1988-04-27",1988,27/04/1988,28/04/1988,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1988-04-30",1988,30/04/1988,01/05/1988,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1988-05-30",1988,28/05/1988,31/05/1988,6,,"","High",3,"","","","","",,"National authorities",""
"NO","NO-1988-08-20",1988,20/08/1988,21/08/1988,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1988-08-22",1988,22/08/1988,23/08/1988,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1988-09-02",1988,02/09/1988,05/09/1988,17,,"","Very High",3,"","","","","",,"National authorities",""
"NO","NO-1988-09-15",1988,15/09/1988,17/09/1988,3,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1988-09-20",1988,20/09/1988,21/09/1988,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1988-09-28",1988,28/09/1988,29/09/1988,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1988-11-24",1988,24/11/1988,25/11/1988,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1988-12-27",1988,27/12/1988,28/12/1988,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1988-12-30",1988,29/12/1988,31/12/1988,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1989-01-15",1989,15/01/1989,16/01/1989,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1989-01-20",1989,19/01/1989,21/01/1989,8,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1989-02-07",1989,07/02/1989,08/02/1989,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1989-06-21",1989,21/06/1989,22/06/1989,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1989-06-28",1989,26/06/1989,01/07/1989,17,,"","Very High",5,"","","","","",,"National authorities",""
"NO","NO-1989-07-05",1989,05/07/1989,06/07/1989,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1989-08-01",1989,01/08/1989,02/08/1989,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1989-08-21",1989,21/08/1989,22/08/1989,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1989-09-21",1989,21/09/1989,22/09/1989,2,,"","High",1,"","","","","",,"National authorities",""
