"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"PL","PL-PL_2000_P_2010_0096_0015",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",2.42,"FD",""
"PL","PL-PL_2000_P_2010_0096_0016",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",10,"FD",""
"PL","PL-PL_2000_P_2010_0096_0017",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",1.12,"FD",""
"PL","PL-PL_2000_P_2010_0096_0018",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.45,"FD",""
"PL","PL-PL_2000_P_2010_0096_0019",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.57,"FD",""
"PL","PL-PL_2000_P_2010_0096_0020",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",,"FD",""
"PL","PL-PL_2000_P_2010_0096_0021",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",0.23,"FD",""
"PL","PL-PL_2000_P_2010_0096_0022",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",0.05,"FD",""
"PL","PL-PL_2000_P_2010_0096_0023",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.05,"FD",""
"PL","PL-PL_2000_P_2010_0096_0025",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",13.56,"FD",""
"PL","PL-PL_2000_P_2010_0096_0026",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.02,"FD",""
"PL","PL-PL_2000_P_2010_0096_0027",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",5.64,"FD",""
"PL","PL-PL_2000_P_2010_0096_0028",2010,,,1,1,"PL2000","High",,"","Fluvial","","Natural exceedance","Rare",16.91,"FD",""
"PL","PL-PL_2000_P_2010_0096_0029",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.38,"FD",""
"PL","PL-PL_2000_P_2010_0096_0030",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",9.93,"FD",""
"PL","PL-PL_2000_P_2010_0096_0031",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.22,"FD",""
"PL","PL-PL_2000_P_2010_0096_0032",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.06,"FD",""
"PL","PL-PL_2000_P_2010_0096_0033",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",11.67,"FD",""
"PL","PL-PL_2000_P_2010_0096_0034",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.73,"FD",""
"PL","PL-PL_2000_P_2010_0096_0035",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.15,"FD",""
"PL","PL-PL_2000_P_2010_0096_0036",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.43,"FD",""
"PL","PL-PL_2000_P_2010_0096_0037",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.18,"FD",""
"PL","PL-PL_2000_P_2010_0096_0038",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.23,"FD",""
"PL","PL-PL_2000_P_2010_0096_0039",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.08,"FD",""
"PL","PL-PL_2000_P_2010_0096_0040",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.76,"FD",""
"PL","PL-PL_2000_P_2010_0096_0041",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.57,"FD",""
"PL","PL-PL_2000_P_2010_0096_0042",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.54,"FD",""
"PL","PL-PL_2000_P_2010_0096_0043",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",1.56,"FD",""
"PL","PL-PL_2000_P_2010_0096_0044",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.19,"FD",""
"PL","PL-PL_2000_P_2010_0096_0045",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.67,"FD",""
"PL","PL-PL_2000_P_2010_0097_0001",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",0.34,"FD",""
"PL","PL-PL_2000_P_2010_0097_0002",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",0.24,"FD",""
"PL","PL-PL_2000_P_2010_0098_0012",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",5.41,"FD",""
"PL","PL-PL_2000_P_2010_0098_0083",2010,,,1,1,"PL2000","High",,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","Rare",0.52,"FD",""
"PL","PL-PL_2000_P_2010_0098_0100",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",20.25,"FD",""
"PL","PL-PL_2000_P_2010_0098_0111",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",6.73,"FD",""
"PL","PL-PL_2000_P_2010_0098_0113",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",8.2,"FD",""
"PL","PL-PL_2000_P_2010_0098_0114",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.18,"FD",""
"PL","PL-PL_2000_P_2010_0098_0115",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.03,"FD",""
"PL","PL-PL_2000_P_2010_0098_0116",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.04,"FD",""
"PL","PL-PL_2000_P_2010_0098_0131",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",2.03,"FD",""
"PL","PL-PL_2000_P_2010_0098_0134",2010,,,1,1,"PL2000","Moderate",60,"","Fluvial","","Natural exceedance","",4.38,"FD",""
"PL","PL-PL_2000_P_2010_0098_0135",2010,,,1,1,"PL2000","Moderate",60,"","Fluvial","","Natural exceedance","",0.98,"FD",""
"PL","PL-PL_2000_P_2010_0098_0148",2010,,,1,1,"PL2000","Moderate",45,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",8.44,"FD",""
"PL","PL-PL_2000_P_2010_0098_0159",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",18.4,"FD",""
"PL","PL-PL_2000_P_2010_0098_0162",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.33,"FD",""
"PL","PL-PL_2000_P_2010_0098_0163",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",9.92,"FD",""
"PL","PL-PL_2000_P_2010_0098_0177",2010,,,1,1,"PL2000","Moderate",4,"","Fluvial","","Natural exceedance","",0.21,"FD",""
"PL","PL-PL_2000_P_2010_0098_0178",2010,,,1,1,"PL2000","Moderate",4,"","Fluvial","","Natural exceedance","",0.85,"FD",""
"PL","PL-PL_2000_P_2010_0098_0244",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",1.13,"FD",""
"PL","PL-PL_2000_P_2010_0098_0245",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.06,"FD",""
"PL","PL-PL_2000_P_2010_0098_0271",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.26,"FD",""
"PL","PL-PL_2000_P_2010_0098_0272",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",3.31,"FD",""
"PL","PL-PL_2000_P_2010_0098_0343",2010,,,1,1,"PL2000","Moderate",30,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",1.05,"FD",""
"PL","PL-PL_2000_P_2010_0098_0344",2010,,,1,1,"PL2000","Moderate",30,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",0.3,"FD",""
"PL","PL-PL_2000_P_2010_0098_0346",2010,,,1,1,"PL2000","Moderate",30,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",6.2,"FD",""
"PL","PL-PL_2000_P_2010_0098_0347",2010,,,1,1,"PL2000","Moderate",30,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",14.95,"FD",""
"PL","PL-PL_2000_P_2010_0098_0373",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.22,"FD",""
"PL","PL-PL_2000_P_2010_0098_0374",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.26,"FD",""
"PL","PL-PL_2000_P_2010_0098_0375",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.06,"FD",""
"PL","PL-PL_2000_P_2010_0098_0376",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.11,"FD",""
"PL","PL-PL_2000_P_2010_0098_0391",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.14,"FD",""
"PL","PL-PL_2000_P_2010_0098_0392",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",6.72,"FD",""
"PL","PL-PL_2000_P_2010_0098_0423",2010,,,1,1,"PL2000","Moderate",2,"","Fluvial","","Natural exceedance","",0.58,"FD",""
"PL","PL-PL_2000_P_2010_0098_0518",2010,,,1,1,"PL2000","Moderate",30,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",7.74,"FD",""
"PL","PL-PL_2000_P_2010_0098_0542",2010,,,1,1,"PL2000","Moderate",45,"","Fluvial","","Natural exceedance,Defence or infrastructural failure","",0.93,"FD",""
"PL","PL-PL_2000_P_2010_0098_0548",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.14,"FD",""
"PL","PL-PL_2000_P_2010_0098_0552",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.06,"FD",""
"PL","PL-PL_2000_P_2010_0098_0553",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.06,"FD",""
"PL","PL-PL_2000_P_2010_0098_0554",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.07,"FD",""
"PL","PL-PL_2000_P_2010_0098_0555",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.34,"FD",""
"PL","PL-PL_2000_P_2010_0098_0563",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.11,"FD",""
"PL","PL-PL_2000_P_2010_0098_0610",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",1.98,"FD",""
"PL","PL-PL_2000_P_2010_0098_0670",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",8.22,"FD",""
"PL","PL-PL_2000_P_2010_0098_0671",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.13,"FD",""
"PL","PL-PL_2000_P_2010_0098_0745",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.04,"FD",""
"PL","PL-PL_2000_P_2010_0098_0751",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",9.68,"FD",""
"PL","PL-PL_2000_P_2010_0098_0752",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.16,"FD",""
"PL","PL-PL_2000_P_2010_0098_0753",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.42,"FD",""
"PL","PL-PL_2000_P_2010_0098_0762",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.15,"FD",""
"PL","PL-PL_2000_P_2010_0098_0763",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",1.09,"FD",""
"PL","PL-PL_2000_P_2010_0098_0766",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",4.16,"FD",""
"PL","PL-PL_2000_P_2010_0098_0767",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.11,"FD",""
"PL","PL-PL_2000_P_2010_0099_0025",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",2.62,"FD",""
"PL","PL-PL_2000_P_2010_0099_0056",2010,,,1,1,"PL2000","Moderate",3,"","Fluvial","","Natural exceedance","",1.91,"FD",""
"PL","PL-PL_2000_P_2010_0099_0060",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.41,"FD",""
"PL","PL-PL_2000_P_2010_0099_0061",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",1.46,"FD",""
"PL","PL-PL_2000_P_2010_0099_0068",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.49,"FD",""
"PL","PL-PL_2000_P_2010_0099_0077",2010,,,1,1,"PL2000","Moderate",3,"","Fluvial","","Natural exceedance","",0.25,"FD",""
"PL","PL-PL_2000_P_2010_0099_0078",2010,,,1,1,"PL2000","Moderate",3,"","Fluvial","","Natural exceedance","",0.19,"FD",""
"PL","PL-PL_2000_P_2010_0099_0085",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.73,"FD",""
"PL","PL-PL_2000_P_2010_0099_0123",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.17,"FD",""
"PL","PL-PL_2000_P_2010_0099_0147",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",0.96,"FD",""
"PL","PL-PL_2000_P_2010_0099_0209",2010,,,1,1,"PL2000","Moderate",,"","Fluvial","","Natural exceedance","",,"FD",""
"PL","PL-PL_2000_P_2010_0099_0228",2010,,,1,1,"PL2000","Moderate",3,"","Fluvial","","Natural exceedance","",,"FD",""
"PL","PL-PL_2000_P_2010_0099_0229",2010,,,1,1,"PL2000","Moderate",3,"","Fluvial","","Natural exceedance","",,"FD",""
"PL","PL-PL_2000_P_2011_0103_0001",2011,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Blockage/restriction","",90.67,"FD",""
"PL","PL-PL_2000_P_2011_0103_0003",2011,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Blockage/restriction","",3.95,"FD",""
"PL","PL-PL_2000_P_2011_0103_0004",2011,,,1,1,"PL2000","Moderate",,"","Fluvial","Snow melt flood","Blockage/restriction","",2.68,"FD",""
"PL","PL-PL_6000_P_1980_0073_0001",1980,,,1,1,"PL6000","Moderate",,"","Fluvial","","","",1.22,"FD",""
"PL","PL-PL_6000_P_1980_0073_0002",1980,,,1,1,"PL6000","Moderate",,"","Fluvial","","","",0.27,"FD",""
"PL","PL-PL_6000_P_1980_0073_0003",1980,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",1.56,"FD",""
"PL","PL-PL_6000_P_1980_0073_0006",1980,,,1,1,"PL6000","Moderate",7,"","Fluvial","","","",1.44,"FD",""
"PL","PL-PL_6000_P_1980_0073_0007",1980,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",1.04,"FD",""
"PL","PL-PL_6000_P_1980_0073_0009",1980,,,1,1,"PL6000","Moderate",7,"","Fluvial","","","",0.32,"FD",""
"PL","PL-PL_6000_P_1980_0073_0011",1980,,,1,1,"PL6000","Moderate",,"","Fluvial","","","",,"FD",""
"PL","PL-PL_6000_P_1980_0073_0012",1980,,,1,1,"PL6000","Moderate",,"","Fluvial","","","",,"FD",""
"PL","PL-PL_6000_P_1985_0088_0002",1985,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",40.62,"FD",""
"PL","PL-PL_6000_P_1985_0088_0010",1985,,,1,1,"PL6000","Moderate",10,"","Fluvial","","","",1.44,"FD",""
"PL","PL-PL_6000_P_1985_0088_0013",1985,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",1.54,"FD",""
"PL","PL-PL_6000_P_1985_0088_0014",1985,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",1.07,"FD",""
"PL","PL-PL_6000_P_1985_0088_0015",1985,,,1,1,"PL6000","Moderate",10,"","Fluvial","","","",0.32,"FD",""
"PL","PL-PL_6000_P_1985_0088_0016",1985,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",2.4,"FD",""
"PL","PL-PL_6000_P_1987_0096_0002",1987,,,1,1,"PL6000","Moderate",21,"","Fluvial","","","",0.32,"FD",""
"PL","PL-PL_6000_P_1999_0107_0001",1999,,,1,1,"PL6000","Moderate",31,"","Fluvial","","","",0.93,"FD",""
"PL","PL-PL_6000_P_1999_0107_0002",1999,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",2.88,"FD",""
"PL","PL-PL_6000_P_2001_0111_0001",2001,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",2.39,"FD",""
"PL","PL-PL_6000_P_2001_0113_0001",2001,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",4.63,"FD",""
"PL","PL-PL_6000_P_2001_0113_0009",2001,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",1.44,"FD",""
"PL","PL-PL_6000_P_2001_0113_0010",2001,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",1.45,"FD",""
"PL","PL-PL_6000_P_2001_0113_0011",2001,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",3.59,"FD",""
"PL","PL-PL_6000_P_2007_0130_0002",2007,,,1,1,"PL6000","Moderate",,"","Fluvial","Snow melt flood","Defence exceedance,Defence or infrastructural failure","",1.59,"FD",""
"PL","PL-PL_6000_P_2008_0136_0001",2008,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",,"FD",""
"PL","PL-PL_6000_P_2010_0141_0001",2010,,,1,1,"PL6000","Moderate",10,"","Fluvial","","","",0.43,"FD",""
"PL","PL-PL_6000_P_2010_0141_0162",2010,,,1,1,"PL6000","Moderate",21,"","Fluvial","","","",2.44,"FD",""
"PL","PL-PL_6000_P_2010_0141_0208",2010,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",0.26,"FD",""
"PL","PL-PL_6000_P_2010_0144_0008",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.52,"FD",""
"PL","PL-PL_6000_P_2010_0144_0009",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.15,"FD",""
"PL","PL-PL_6000_P_2010_0144_0010",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",7.31,"FD",""
"PL","PL-PL_6000_P_2010_0144_0047",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.75,"FD",""
"PL","PL-PL_6000_P_2010_0144_0048",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.13,"FD",""
"PL","PL-PL_6000_P_2010_0144_0049",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.19,"FD",""
"PL","PL-PL_6000_P_2010_0144_0076",2010,,,1,1,"PL6000","Moderate",44,"","Fluvial","","","",0.99,"FD",""
"PL","PL-PL_6000_P_2010_0144_0088",2010,,,1,1,"PL6000","Moderate",186,"","Fluvial","","","",15.07,"FD",""
"PL","PL-PL_6000_P_2010_0144_0138",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.31,"FD",""
"PL","PL-PL_6000_P_2010_0144_0139",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.12,"FD",""
"PL","PL-PL_6000_P_2010_0144_0159",2010,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",6.48,"FD",""
"PL","PL-PL_6000_P_2010_0144_0164",2010,,,1,1,"PL6000","Moderate",14,"","Fluvial","","","",0.78,"FD",""
"PL","PL-PL_6000_P_2010_0144_0273",2010,,,1,1,"PL6000","Moderate",44,"","Fluvial","","","",0.43,"FD",""
"PL","PL-PL_6000_P_2010_0144_0294",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.01,"FD",""
"PL","PL-PL_6000_P_2010_0144_0295",2010,,,1,1,"PL6000","Moderate",,"","Fluvial","","Natural exceedance","",0.43,"FD",""
"PL","PL-PL_7000_P_2000_0002_0001",2000,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.77,"FD",""
"PL","PL-PL_7000_P_2001_0003_0001",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.17,"FD",""
"PL","PL-PL_7000_P_2001_0003_0002",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.18,"FD",""
"PL","PL-PL_7000_P_2001_0003_0003",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.11,"FD",""
"PL","PL-PL_7000_P_2001_0003_0004",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.03,"FD",""
"PL","PL-PL_7000_P_2001_0003_0005",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.01,"FD",""
"PL","PL-PL_7000_P_2001_0003_0006",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.31,"FD",""
"PL","PL-PL_7000_P_2001_0003_0007",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.13,"FD",""
"PL","PL-PL_7000_P_2001_0003_0008",2001,,,1,1,"PL7000","Moderate",,"","Fluvial","","Natural exceedance","",0.27,"FD",""
"PL","PL-PL_7000_P_2009_0004_0001",2009,,,1,1,"PL7000","Moderate",,"","Fluvial","Snow melt flood","Natural exceedance","",0.57,"FD",""
"PT","PT-1981-12-29",1981,29/12/1981,29/12/1981,0,0,"","Very High",,"","","","","",,"EM-DAT",""
"PT","PT-1983-11-18",1983,18/11/1983,18/11/1983,0,0,"","Very High",,"","","","","",,"EM-DAT",""
"PT","PT-1983-11-19",1983,19/11/1983,20/11/1983,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1987-01-10",1987,10/01/1987,11/01/1987,0,0,"","Very High",1,"","","","","",,"National Authorities",""
"PT","PT-1987-10-15",1987,15/10/1987,16/10/1987,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1989-01-01",1989,01/01/1989,02/01/1989,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1989-01-22",1989,22/01/1989,10/02/1989,0,0,"","Very High",20,"","","","","",,"DFO",""
"PT","PT-1989-12-17",1989,17/12/1989,18/12/1989,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1989-12-21",1989,21/12/1989,22/12/1989,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1996-01-08",1996,08/01/1996,08/01/1996,0,0,"","Very High",,"","","","","",,"EM-DAT",""
"PT","PT-1996-01-09",1996,09/01/1996,10/01/1996,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1996-12-22",1996,22/12/1996,24/12/1996,0,0,"","Moderate",2,"","","","","",,"EM-DAT",""
"PT","PT-1997-10-26",1997,26/10/1997,27/10/1997,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-1997-10-29",1997,29/10/1997,02/11/1997,0,0,"","Very High",5,"","","","","",,"DFO",""
"PT","PT-2000-12-21",2000,21/12/2000,22/12/2000,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-2001-01-26",2001,26/01/2001,29/01/2001,0,0,"","Very High",3,"","","","","",,"EM-DAT",""
"PT","PT-2001-03-21",2001,21/03/2001,22/03/2001,0,0,"","Very High",2,"","","","","",,"DFO",""
"PT","PT-2001-03-24",2001,24/03/2001,25/03/2001,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-2002-12-26",2002,26/12/2002,26/12/2002,0,0,"","Very High",,"","","","","",,"EM-DAT",""
"PT","PT-2003-01-08",2003,08/01/2003,09/01/2003,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-2003-11-03",2003,03/11/2003,04/11/2003,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-2006-10-24",2006,24/10/2006,25/10/2006,0,0,"","Very High",1,"","","","","",,"National Authorities",""
"PT","PT-2006-11-03",2006,03/11/2006,04/11/2006,0,0,"","Moderate",1,"","","","","",,"National Authorities",""
"PT","PT-2008-02-18",2008,18/02/2008,18/02/2008,0,0,"","Very High",,"","","","","",,"EM-DAT",""
"PT","PT-2010-02-20",2010,20/02/2010,21/02/2010,0,0,"","Very High",1,"","","","","",,"EM-DAT",""
"PT","PT-2013-03-14",2013,14/03/2013,17/03/2013,0,0,"","High",4,"","","","","",,"DFO",""
"RO","RO-1980-07-22",1980,21/07/1980,12/08/1980,19,19,"RO8","Very High",22,"","Fluvial,Pluvial","Snow melt flood,Deep flood,Flash flood,High velocity flow","Natural exceedance,Defence exceedance,Defence or infrastructural failure","Very Rare",114.984,"FD",""
"RO","RO-1984-03-13",1984,13/03/1984,13/03/1984,,,"","Moderate",,"","","","","",,"EM-DAT",""
"RO","RO-1985-06-17",1985,17/06/1985,27/06/1985,7,7,"RO11","Very High",10,"","Fluvial","High velocity flow,Flash flood","Defence or infrastructural failure,Natural exceedance","Very Rare",,"FD",""
"RO","RO-1991-07-26",1991,24/07/1991,20/08/1991,18,18,"RO10","Very High",27,"","Fluvial,Artificial water-bearing infrastructure,Pluvial","Deep flood,Debris flow,Flash flood,High velocity flow,Other rapid onset","Natural exceedance,Defence exceedance,Defence or infrastructural failure,Blockage/restriction","Very Rare",219.831,"FD","Data on Degree_TotalDamage obtained from EM-DAT"
"RO","RO-1994-08-27",1994,27/08/1994,28/08/1994,,,"","Very High",1,"","","","","",,"EM-DAT",""
"RO","RO-1995-05-23",1995,23/05/1995,26/05/1995,,,"","High",4,"","","","","",,"DFO",""
"RO","RO-1995-12-23",1995,23/12/1995,02/01/1996,5,5,"RO8","Very High",10,"","Fluvial,Pluvial","Snow melt flood,Deep flood,Flash flood","Natural exceedance","Very Rare",62.449,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"RO","RO-1997-06-12",1997,12/06/1997,27/06/1997,4,4,"RO8","Very High",15,"","Fluvial,Pluvial","Deep flood,Flash flood","Natural exceedance,Defence exceedance","Very Rare",43.54,"FD",""
"RO","RO-1997-07-04",1997,04/07/1997,09/08/1997,,,"","Very High",36,"","","","","",,"EM-DAT",""
"RO","RO-1998-01-21",1998,21/01/1998,24/01/1998,1,1,"RO1000","Very High",3,"","Fluvial,Sea water","Deep flood","","Very Rare",2.2,"FD",""
"RO","RO-1998-06-20",1998,19/06/1998,01/07/1998,13,13,"RO7","Very High",12,"","Fluvial,Pluvial","Deep flood,Flash flood","Natural exceedance,Defence or infrastructural failure","Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT"
"RO","RO-1999-02-21",1999,21/02/1999,18/03/1999,,,"","Very High",26,"","","","","",,"DFO",""
"RO","RO-1999-06-22",1999,22/06/1999,23/06/1999,1,1,"RO5","Very High",1,"","Pluvial,Artificial water-bearing infrastructure","Flash flood","Natural exceedance,Blockage/restriction","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT"
